nama_bahan,berat (g),energi (kal),protein (g),lemak (g),karbo (g),serat (g),food_group,food_type
"Cengkeh, kering",100,330,5.2,8.9,57.4,10,bumbu,raw
"Daun salam,  bubuk",100,301,14.2,10.9,49,9.4,bumbu,raw
"Jahe, segar",100,51,1.5,1,10.1,12,bumbu,raw
Kemiri,100,675,19,63,8,3,bumbu,raw
"Ketumbar, kering",100,418,14.1,16.1,54.2,12.3,bumbu,raw
Kluwek,100,310,10,24,13.5,,bumbu,raw
"Kunyit, segar",100,69,2,2.7,9.1,0.6,bumbu,raw
"Merica, kering",100,365,11.5,6.8,64.4,1,bumbu,raw
"Pala, biji, kering",100,518,7.5,36.4,40.1,3.5,bumbu,raw
Balichong,100,152,13.2,0.8,22.9,1.5,bumbu,processed
Bekasam,100,116,11.9,4.9,6.1,3.5,bumbu,processed
Bekasang,100,78,11.4,2,3.6,0.4,bumbu,processed
Cuka,100,21,0.1,0.1,5,0,bumbu,processed
Kecap,100,71,5.7,1.3,9,0,bumbu,processed
Petis ikan,100,165,20,0.2,20.8,,bumbu,processed
Petis udang kering,100,345,23.8,1.4,59.3,0,bumbu,processed
Petis udang pasta,100,220,15,0.9,38,2.3,bumbu,processed
Saos tomat,100,110,2,0.4,24.5,0.9,bumbu,processed
Tempoya,100,110,1.7,1.3,21.9,2.6,bumbu,processed
Terasi,100,155,22.3,2.9,9.9,2.7,bumbu,processed
Terasi dobo,100,191,33.1,3.6,6.6,1.6,bumbu,processed
Terasi merah,100,174,30,3.5,5.6,2.2,bumbu,processed
"Kelapa muda, air,
segar",100,17,0.2,0.1,3.8,0,minuman,raw
